questionName,variableName,questionType,subType,questionText,choiceValue,choiceText
student,student,Closed,Single,"(1/9) Are you a student enrolled in a Norwegian higher education institution?",,
definition,definition,Closed,Single,"(2/9) Which of the following statements is closest to how you understand privacy?",,
s_1,s_1,Open,String,"(2/9) Which of the following statements is closest to how you understand privacy? - Other ? please enter (English or Norwegian).",,
privacy_importance,privacy_importance,Closed,Single,"(3/9) How important is privacy to you?",,
little_control,little_control,Closed,Single,"(4/9) To what extent do you agree with the following statements? - I feel that I have little control over how personal information about me is stored and used by my higher education institution.",,
powerless,powerless,Closed,Single,"(4/9) To what extent do you agree with the following statements? - I feel powerless when it comes to having control over personal information about me in relation to my higher education institution.",,
self_management,self_management,Closed,Single,"(4/9) To what extent do you agree with the following statements? - I want to be able to control and ensure my own privacy.",,
expert_management,expert_management,Closed,Single,"(4/9) To what extent do you agree with the following statements? - I want privacy experts or larger bodies (like an independent administrative body) to control and ensure my privacy.",,
desiarability,desiarability,Closed,Single,"(5/9) How desirable is it for you to have your personal information collected, processed and analyzed by your higher education institution in order for them to provide services that has the potential to improve your learning outcome?",,
accountability,accountability,Closed,Single,"(6/9) Imagine that your higher education institution is collecting, processing and analyzing your personal information in order to improve your learning outcome. How important are the following privacy principles to you? - Accountability ? That your higher education institution is liable to account for and answer for the collection, processing and analyzing of your personal information. ",,
accuracy,accuracy,Closed,Single,"(6/9) Imagine that your higher education institution is collecting, processing and analyzing your personal information in order to improve your learning outcome. How important are the following privacy principles to you? - Accuracy ? That the information about you that is represented in your higher education institution?s systems are accurate, precise and exact. ",,
anonymity,anonymity,Closed,Single,"(6/9) Imagine that your higher education institution is collecting, processing and analyzing your personal information in order to improve your learning outcome. How important are the following privacy principles to you? - Anonymity ? That the information about you, in your higher education institution is represented in such a way that it is indistinguishable from others of its kind so that it cannot be directly connected to you. ",,
